name,quadrant,ring,isNew,description
CI\CD,Techniques,Adopt,FALSE,"<p><strong><a href=""https://www.atlassian.com/continuous-delivery/principles/continuous-integration-vs-delivery-vs-deployment"">CI/CD</a></strong> a classic approach to Continious integration and Deployment"
BDD,Techniques,Trial,FALSE,
TDD,Techniques,Assess,TRUE,
DDD,Techniques,Trial,TRUE,
Scrum,Techniques,Adopt,FALSE,
Agile,Techniques,Adopt,FALSE,
Linux,Platforms,Adopt,FALSE,Most of DX backend infrastructure is powered by Linux
Android,Platforms,Adopt,FALSE,MelcoClub App runs on Android as a target OS. Android is considered as a mandatory ecosystems of MelcoApp presence.
Windows,Platforms,Hold,FALSE,Some of DX clients and legacy backend are powere by Windows. 
iOS,Platforms,Adopt,FALSE,MelcoClub App runs on iOS as a target OS. iOS is considered as a mandatory ecosystems of MelcoApp presence.
Hadoop,Tools,Adopt,FALSE,
MongoDB,Tools,Adopt,FALSE,
CouchDB,Tools,Adopt,FALSE,
MSSQL,Tools,Adopt,FALSE,
Yellowbrick,Tools,Trial,FALSE,
Docker,Tools,Adopt,FALSE,
Github,Tools,Adopt,FALSE,
Gitlab,Tools,Adopt,FALSE,
Selenium,Tools,Adopt,FALSE,
Junit,Tools,Adopt,FALSE,
Jmeter,Tools,Adopt,FALSE,
Jenkins,Tools,Hold,FALSE,
Terraform,Tools,Adopt,FALSE,
Kubernetes,Tools,Adopt,FALSE,
SonarQube,Tools,Adopt,FALSE,
Code Climate,Tools,Assess,TRUE,
Gitlab-CI,Tools,Adopt,FALSE,
Ambassador,Tools,Adopt,FALSE,
Istio,Tools,Adopt,FALSE,
MySQL,Tools,Assess,FALSE,
Helm,Tools,Assess,FALSE,
Appium,Tools,Adopt,FALSE,
Swift,languages-and-frameworks,Adopt,FALSE,
Objective-C,languages-and-frameworks,Hold,FALSE,
Java,languages-and-frameworks,Adopt,FALSE,
JavaScript,languages-and-frameworks,Adopt,FALSE,
Node.Js,languages-and-frameworks,Adopt,FALSE,
Spring,languages-and-frameworks,Adopt,FALSE,
Golang,languages-and-frameworks,Adopt,FALSE,
PHP,languages-and-frameworks,Hold,FALSE,
Python,languages-and-frameworks,Adopt,FALSE,
HTML5,languages-and-frameworks,Adopt,FALSE,
CSS,languages-and-frameworks,Adopt,FALSE,
Kotlin,languages-and-frameworks,Adopt,TRUE,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,Adopt,,
,,Trial,,
,,Asses,,
,,Hold,,